Comment,Designator,Footprint,LCSC Part #
1k65,R11,R0603,C22845
1uF,C7,C0603,
4 7uF,C5,C0603,C19666
10k,R1 R2 R3,R0402,
22uF,C4,C0603,
47uF,C2,A/3216-18R,C122913 
100nF,C1 C6,C0603,
330,R10,R0603,
0805L050,F1,0805L,C66452
Boot button,FLASH,TS1088R02026,C455280
EN botton,RESET,TS1088R02026,C455280
ESP32-WROOM-32D,ESP32,ESP32WROOM32D,C82899
HT7833,LDO1,SOT23-5,
JST-PH-2/90SMD,BATTERY,S2B-PH-SM4,C47647
MicroXNJ,CHARGING,U254-051T-4BH23-S2B,C404969
RED,CHRG,CHIP-LED0603,C2286
TP4054,U1,SOT-23-5,C32574
